Name,Field,State,Country,Year
Thetakudi Harihara Vinayakram,Art-Ghatam Artist,Tamil Nadu,India,2014
Kamal Haasan,Art-Cinema,Tamil Nadu,India,2014
Justice Dalveer Bhandari,Public Affairs,Delhi,India,2014
Padmanabhan Balaram,Science and Engineering,Karnataka,India,2014
Jyeshtharaj Joshi,Science and Engineering,Maharashtra,India,2014
Madappa Mahadevappa,Science and Engineering,Karnataka,India,2014
Thirumalachari Ramasami,Science and Engineering,Delhi,India,2014
Vinod Prakash Sharma,Science and Engineering,Delhi,India,2014
Radhakrishnan Koppillil,Science and Engineering,Karnataka,India,2014
Mrityunjay Athreya,Literature and Education,Delhi,India,2014
Anita Desai,Literature and Education,Delhi,India,2014
Dhirubhai Thaker,Literature and Education,Gujarat,India,2014
Vairamuthu,Literature and Education,Tamil Nadu,India,2014
Ruskin Bond,Literature and Education,Uttarakhand,India,2014
Pullela Gopichand,Sports-Badminton,Andhra Pradesh,India,2014
Leander Paes,Sports-Tennis,West Bengal,India,2014
Vijayendra Nath Kaul,Civil Service,Delhi,India,2014
Justice Jagdish Sharan Vermaâ€ ,Public Affairs,Uttar Pradesh,India,2014
Anumolu Ramakrishnaâ€ ,Science and Engineering,Andhra Pradesh,India,2014
Anisuzzaman,Literature and Education,,Bangladesh*,2014
Lloyd Rudolph,Literature and Education,,USA*,2014
Susanne Hoeber Rudolph,Literature and Education,,USA*,2014
Neelam Kler,Medicine- Neonatology,Delhi,India,2014
Name,Field,State,Country,
Jahnu Baruah,Art,Assam,India,2015
Vijay Bhatkar,Science and Engineering,Maharashtra,India,2015
Swapan Dasgupta,Literature and Education,Delhi,India,2015
Satyamitranand Giri,Others,Uttar Pradesh,India,2015
N. Gopalaswami,Civil Service,Tamil Nadu,India,2015
Subhash C. Kashyap,Public Affairs,Delhi,India,2015
Gokulotsavji Maharaj,Art,Madhya Pradesh,India,2015
Ambrish Mithal,Medicine,Delhi,India,2015
Sudha Ragunathan,Art,Tamil Nadu,India,2015
Harish Salve,Public Affairs,Delhi,India,2015
Ashok Seth,Medicine,Delhi,India,2015
Rajat Sharma,Literature and Education,Delhi,India,2015
Satpal Singh,Sports,Delhi,India,2015
Shivakumara Swami,Others,Karnataka,India,2015
Kharag Singh Valdiya,Science and Engineering,Karnataka,India,2015
Manjul Bhargava,Science and Engineering,,USA,2015
David Frawley (Vamadeva),Others,,USA,2015
Bill Gates,Social Work,,USA,2015
Melinda Gates,Social Work,,USA,2015
Saichiro Misumi,Others,,Japan,2015
Name,Field,State,Country,
H.H. Swami Tejomayananda,Spiritual,Maharashtra,India,2016
Anupam Kher,Art,Maharashtra,India,2016
Udit Narayan,Art,Maharashtra,India,2016
Ram V Sutar,Art,Uttar Pradesh,India,2016
Heisnam Kanhailal,Art,Manipur,India,2016
Vinod Rai,Civil Service,Kerala,India,2016
Yarlagadda Lakshmi Prasad,Literature & Education,Andhra Pradesh,India,2016
N. S. Ramanuja Tatacharya,Literature & Education,Maharashtra,India,2016
Barjinder Singh Hamdard,Literature & Education,Punjab,India,2016
D. Nageshwar Reddy,Medicine,Telangana,India,2016
Hafeez Contractor,Other,Maharashtra,India,2016
Ravindra Chandra Bhargava,Public Affairs,Uttar Pradesh,India,2016
A. V. Rama Rao,Science & Engineering,Andhra Pradesh,India,2016
Saina Nehwal,Sports,Telangana,India,2016
Sania Mirza,Sports,Telangana,India,2016
Indu Jain,Trade & Industry,Delhi,India,2016
Dayananda Saraswatiâ€ ,Others,Uttarakhand,India,2016
Robert Blackwill,Public Affairs,Foreigner,USA,2016
Pallonji Shapoorji Mistry,Trade & Industry,NRI/PIO,Ireland,2016
Name,Field,State,Country,
Begum Aizaz Rasul,Social Work,Uttar Pradesh,India,2000
Raghunath Anant Mashelkar,Science & Engineering,Delhi,India,2000
Vasudev Kalkunte Aatre,Science & Engineering,Delhi,India,2000
Karamshi Jethabhai Somaiya,Social Work,Maharashtra,India,2000
Maulana Wahiduddin Khan,Public Affairs,Delhi,India,2000
Braj Basi Lal,Science & Engineering,Delhi,India,2000
Harbans Singh Wasir,Medicine,Haryana,India,2000
Pavagada Venkata Indiresan,Science & Engineering,Delhi,India,2000
Anil Kumar Agarwal,Others,Delhi,India,2000
DharmasthalaVeerendra Heggade,Social Work,Karnataka,India,2000
Holenarasipur Yoganarasiham Prasad Sharada,Literature & Education,Delhi,India,2000
Pakkiriswamy Chandra Sekharan,Science & Engineering,Karnataka,India,2000
Raja Reddy,Arts,Delhi,India,2000
Rajini Kanth,Arts,Tamil Nadu,India,2000
Ram Narain Agarwal,Science & Engineering,Andhra Pradesh,India,2000
Ratan Tata,Trade & Industry,Maharashtra,India,2000
Radha Reddy,Arts,Delhi,India,2000
S. Srinivasan,Science & Engineering,Kerala,India,2000
Sharan Rani Backliwal,Arts,Delhi,India,2000
Swami Kalyan Dev,Social Work,Uttar Pradesh,India,2000
Name,Field,State,Country,
Yamini Krishnamurti,Arts,Delhi,India,2001
Arun Netravali,Science & Engineering,,United States,2001
Bhupathiraju Vissam Raju,Trade & Industry,Andhra Pradesh,India,2001
Boyi Bhimanna,Literature & Education,Andhra Pradesh,India,2001
Chitranjan Singh Ranawat,Medicine,,United States,2001
Karimpumannil Mathai George,Literature & Education,Kerala,India,2001
Lakshminarayana Subramaniam,Arts,tamil nadu,India,2001
Naresh Kumar Trehan,Medicine,Delhi,India,2001
Palle Rama Rao,Science & Engineering,Andhra Pradesh,India,2001
Bhanumathi Ramakrishna,Arts,Tamil Nadu,India,2001
Raj Reddy,Science & Engineering,,United States,2001
Rajendra Kumar Pachauri,Others,Delhi,India,2001
Amrita Patel,Trade & Industry,Gujarat,India,2001
Maulana Abdul Karim Parekh,Social Work,Maharashtra,India,2001
Uma Sharma,Arts,Delhi,India,2001
Shiv Kumar,Literature & Education,Andhra Pradesh,India,2001
Amitabh Bachchan,Arts,Maharashtra,India,2001
Aroon Purie,Literature & Education,Delhi,India,2001
Ashok Desai,Public Affairs,Delhi,India,2001
Badrinarayan Ramulal Barwale,Trade & Industry,Maharashtra,India,2001
Baldev Raj Chopra,Arts,Maharashtra,India,2001
Bhupen Hazarika,Arts,Assam,India,2001
Dev Anand,Arts,Maharashtra,India,2001
Lalgudi Gopalaiyer Jayaraman,Arts,Tamil Nadu,India,2001
Mohan Singh Oberoi,Trade & Industry,Delhi,India,2001
Pran,Arts,Maharashtra,India,2001
Raghunath Mohapatra,Arts,Orissa,India,2001
Rahul Bajaj,Trade & Industry,Maharashtra,India,2001
Sundaram Ramakrishnan,Social Work,Maharashtra,India,2001
Swadesh Chatterjee,Public Affairs,,United States,2001
Trimbak alias Balasaheb Shivram Bharde,Social Work,Maharashtra,India,2001
Viswanathan Anand,Sports,Tamil Nadu,India,2001
Name,Field,State,Country,
Prabha Atre,Arts,Maharashtra,India,2002
Hari Pal Singh Ahluwalia,Social Work,Delhi,India,2002
Natesan Rangabashyam,Medicine,Tamil Nadu,India,2002
Sushantha Kumar Bhattacharyya,Public Affairs,,United Kingdom,2002
Vangalampalayam Chellappagounder Kulandaiswamy,Science & Engineering,Tamil Nadu,India,2002
Bellur Krishnamachar Sundara Raja Iyengar,Literature & Education,Maharashtra,India,2002
Chandu Borde,Sports,Maharashtra,India,2002
