Recipient,Field,State,,Year
"Thooran, PeriyasaamyPeriyasaamy Thooran",Literature & Education,Tamil Nadu,,1968
"Varma, Sarda PrasadSarda Prasad Varma",Civil Service,Bihar,,1968
"Vasavada, Shamaprasad RupshankerShamaprasad Rupshanker Vasavada",Social Work,Gujarat,,1968
"Venkatarangayya, MamidipudiMamidipudi Venkatarangayya",Literature & Education,Andhra Pradesh,,1968
Recipient,Field,State,,
"Bandyopadhyay, TarasankarTarasankar Bandyopadhyay",Literature & Education,West Bengal,,1969
"Chandar, KrishnaKrishna Chandar",Literature & Education,Maharashtra,,1969
"Dagar, Rahim-ud-in KhanRahim-ud-in Khan Dagar",Arts,Delhi,,1969
"Dantwala, Mohanlal LallubhaiMohanlal Lallubhai Dantwala",Science & Engineering,Maharashtra,,1969
"Datey, Keshavrao KrishnaraoKeshavrao Krishnarao Datey",Medicine,Maharashtra,,1969
"Goenka, Keshave PrasadKeshave Prasad Goenka",Trade & Industry,West Bengal,,1969
"Iyer, Semmangudi SrinivasaSemmangudi Srinivasa Iyer",Arts,Tamil Nadu,,1969
"Jhaveri, Vithalbhai KanthabhaiVithalbhai Kanthabhai Jhaveri",Literature & Education,Maharashtra,,1969
"Kapoor, PrithvirajPrithviraj Kapoor",Arts,Punjab,,1969
"Kerkar, KesarbaiKesarbai Kerkar",Arts,Maharashtra,,1969
"Kriplani, Krishna RamchandKrishna Ramchand Kriplani",Literature & Education,Delhi,,1969
"Lahiri, AdinathAdinath Lahiri",Science & Engineering,West Bengal,,1969
"Lal, Gobind BehariGobind Behari Lal",Literature & Education,â€“,,1969
"Lalbhai, KasturbhaiKasturbhai Lalbhai",Trade & Industry,Gujarat,,1969
"Mangeshkar, LataLata Mangeshkar",Arts,Maharashtra,,1969
"Menon, V. K. NarayanaV. K. Narayana Menon",Science & Engineering,Kerala,,1969
"Nair, Raman MadhavanRaman Madhavan Nair",Literature & Education,Chandigarh,,1969
"Sagar, Samad Yar Khan NizamiSamad Yar Khan Nizami Sagar",Literature & Education,Uttar Pradesh,,1969
"Parulekar, NanasahebNanasaheb Parulekar",Literature & Education,Maharashtra,,1969
"Pendharkar, Yashwant DinkarYashwant Dinkar Pendharkar",Literature & Education,Maharashtra,,1969
"Phadke, Vitthal LaxmanVitthal Laxman Phadke",Social Work,Gujarat,,1969
"Rao, RajaRaja Rao",Literature & Education,â€“,,1969
"Ray, NiharranjanNiharranjan Ray",Literature & Education,West Bengal,,1969
"Sen, Prafulla KumarPrafulla Kumar Sen",Medicine,Maharashtra,,1969
"Shah, Vallabhadad SvithaldasVallabhadad Svithaldas Shah",Medicine,Maharashtra,,1969
"Sherwani, Haroon KhanHaroon Khan Sherwani",Literature & Education,Andhra Pradesh,,1969
"Sreenivasan, KasturiswamyKasturiswamy Sreenivasan",Trade & Industry,Tamil Nadu,,1969
"Tata, NavalNaval Tata",Social Work,Maharashtra,,1969
"Vasan, S. S.S. S. Vasan",Arts,Tamil Nadu,,1969
Recipient,Field,State,,
"Bhabha, Homi JehangirHomi Jehangir Bhabha",Science & Engineering,Maharashtra,,1954
"Bhatnagar, Shanti SwaroopShanti Swaroop Bhatnagar",Science & Engineering,Uttar Pradesh,,1954
"Ganapati, Mahadeva IyerMahadeva Iyer Ganapati",Civil Service,Odisha,,1954
"Ghosh, Jnan ChandraJnan Chandra Ghosh",Science & Engineering,West Bengal,,1954
"Gupta, Radha KrishanRadha Krishan Gupta",Civil Service,Delhi,,1954
"Gupt, Maithili SharanMaithili Sharan Gupt",Literature & Education,Uttar Pradesh,,1954
"Handa, R. R.R. R. Handa",Civil Service,Punjab,,1954
"Jha, AmarnathAmarnath Jha",Literature & Education,Uttar Pradesh,,1954
"Khosla, Ajudhia NathAjudhia Nath Khosla",Science & Engineering,Delhi,,1954
"Krishnan, Kariamanickam SrinivasaKariamanickam Srinivasa Krishnan",Science & Engineering,Tamil Nadu,,1954
"Madni, Moulana Hussain AhmedMoulana Hussain Ahmed Madni",Literature & Education,Punjab,,1954
"Malihabadi, JoshJosh Malihabadi",Literature & Education,Delhi,,1954
"Mehta, V. L.V. L. Mehta",Public Affairs,Gujarat,,1954
"Menon, Vallathol NarayanaVallathol Narayana Menon",Literature & Education,Kerala,,1954
"Mudaliar, A. LakshmanaswamiA. Lakshmanaswami Mudaliar",Literature & Education,Tamil Nadu,,1954
"Namgyal, Maharaj Kr. Palden TMaharaj Kr. Palden T Namgyal",Public Affairs,Punjab,,1954
"Rao, V. NarahariV. Narahari Rao",Civil Service,Karnataka,,1954
"Rau, Pandyala SatyanarayanaPandyala Satyanarayana Rau",Civil Service,Andhra Pradesh,,1954
"Roy, JaminiJamini Roy",Arts,West Bengal,,1954
"Sen, SukumarSukumar Sen",Civil Service,West Bengal,,1954
"Shastri, Satya NarayanaSatya Narayana Shastri",Medicine,Uttar Pradesh,,1954
"Subbulakshmi, M. S.M. S. Subbulakshmi",Arts,Tamil Nadu,,1954
"Thimayya, Kodandera SubayyaKodandera Subayya Thimayya",Civil Service,Karnataka,,1954
Recipient,Field,State,,
"Badhwar, Fateh ChandFateh Chand Badhwar",Civil Service,Punjab,,1955
"Banerjee, Lalit MohanLalit Mohan Banerjee",Medicine,West Bengal,,1955
"Chatterji, Suniti KumarSuniti Kumar Chatterji",Literature & Education,West Bengal,,1955
"Chattopadhyay, KamaladeviKamaladevi Chattopadhyay",Social Work,West Bengal,,1955
"Dey, Surender KumarSurender Kumar Dey",Civil Service,â€“ [a],,1955
"Khanolkar, Vasant RamjiVasant Ramji Khanolkar",Medicine,Maharashtra,,1955
"Khungar, Sunder DasSunder Das Khungar",Civil Service,Punjab,,1955
"Nehru, RameshwariRameshwari Nehru",Social Work,Uttar Pradesh,,1955
"Parija, Prana KrushnaPrana Krushna Parija",Literature & Education,Odisha,,1955
"Rao, MadapatiMadapati Rao",Social Work,Andhra Pradesh,,1955
"Thacker, Maneklal SankalchandManeklal Sankalchand Thacker",Literature & Education,Delhi,,1955
"Venkatachari, Attur RangaswamiAttur Rangaswami Venkatachari",Civil Service,Tamil Nadu,,1955
Recipient,Field,State,,
"Arundale, Rukmini DeviRukmini Devi Arundale",Arts,Tamil Nadu,,1956
"Bose, RajshekharRajshekhar Bose",Literature & Education,West Bengal,,1956
"Chand, DhyanDhyan Chand",Sports,Punjab,,1956
"Iyengar, Malur Srinivasa ThirumaleMalur Srinivasa Thirumale Iyengar",Civil Service,Tamil Nadu,,1956
"Jung, Nawab Zain YarNawab Zain Yar Jung",Public Affairs,Andhra Pradesh,,1956
"Mehta, Pushpavati JanardenraiPushpavati Janardenrai Mehta",Public Affairs,Maharashtra,,1956
"Nayudu, Cottari KankaiyahCottari Kankaiyah Nayudu",Sports,Tamil Nadu,,1956
"Reddi, MuthulakshmiMuthulakshmi Reddi",Medicine,Tamil Nadu,,1956
"Sain, KanwarKanwar Sain",Civil Service,Rajasthan,,1956
"Singh, VirVir Singh",Literature & Education,Punjab,,1956
"Srinivasan, KasturiKasturi Srinivasan",Literature & Education,Punjab,,1956
"Varma, MahadeviMahadevi Varma",Literature & Education,Uttar Pradesh,,1956
"Venkataraman, Triuvadi SambasivaTriuvadi Sambasiva Venkataraman",Science & Engineering,Tamil Nadu,,1956
Recipient,Field,State,,
"Atreya, Bhikham LalBhikham Lal Atreya",Literature & Education,Uttar Pradesh,,1957
"Balasaraswati, T.T. Balasaraswati",Arts,Tamil Nadu,,1957
"Chettiar, AlagappaAlagappa Chettiar",Social Work,Tamil Nadu,,1957
"Dwivedi, Hazari PrasadHazari Prasad Dwivedi",Literature & Education,Uttar Pradesh,,1957
"Hussain, AbidAbid Hussain",Literature & Education,Uttar Pradesh,,1957
"Khan, Mushtaq HussainMushtaq Hussain Khan",Arts,Madhya Pradesh,,1957
"Menon, LakshmiLakshmi Menon",Public Affairs,Kerala,,1957
"Mukherjee, Radha KumudRadha Kumud Mukherjee",Public Affairs,West Bengal,,1957
"Raja, K. Covilagam Kutti EttanK. Covilagam Kutti Ettan Raja",Civil Service,Kerala,,1957
