Name,Field,State,Country,Year
P. K. Gopal,Social Work,Tamil Nadu,India,2012
Phoolbasan Bai Yadav,Social Work,Chhattisgarh,India,2012
G. Muniratnam,Social Work,Andhra Pradesh,India,2012
Niranjan Pranshankar Pandya,Social Work,Maharashtra,India,2012
Uma Tuli,Social Work,Delhi,India,2012
S. P. Varma,Social Work,Jammu and Kashmir,India,2012
Binny Yanga,Social Work,Arunachal Pradesh,India,2012
Yezdi Hirji Malegam,Public Affairs,Maharashtra,India,2012
Pravin H. Parekh,Public Affairs,Delhi,India,2012
V. Adimurthy,Science and Engineering,Kerala,India,2012
Krishna Lal Chadha,Science and Engineering - Agriculture,Delhi,India,2012
Virander Singh Chauhan,Science and Engineering,Delhi,India,2012
Rameshwar Nath Koul Bamezai,Science and Engineering,Jammu and Kashmir,India,2012
Vijaypal Singh,Science and Engineering - Agricultural Research,Uttar Pradesh,India,2012
Lokesh Kumar Singhal,Science and Engineering,Punjab,India,2012
Yagnaswami Sundara Rajan,Science and Engineering,Karnataka,India,2012
Jagadish Shukla,Science and Engineering,,USA*,2012
Priya Paul,Trade and Industry,Delhi,India,2012
Shoji Shiba,Trade and Industry,,Japan*,2012
Gopinath Pillai,Trade and Industry,,Singapore*,2012
Arun Hastimal Firodia,Trade and Industry,Maharashtra,India,2012
Swati A. Piramal,Trade and Industry,Maharashtra,India,2012
Mahdi Hasan,Medicine-Anatomy,Uttar Pradesh,India,2012
Dr. V. Mohan,Medicine - Diabetology,Tamil Nadu,India,2012
J. Hareendran Nair,Medicine - Ayurveda,Kerala,India,2012
Vallalarpuram Sennimalai Natarajan,Medicine - Geriatrics,Tamil Nadu,India,2012
Jitendra Kumar Singh,Medicine - Oncology,Bihar,India,2012
Shrinivas S. Vaishya,Medicine-Healthcare,Daman and Diu,India,2012
Nitya Anand,Medicine - Drugs Research,Uttar Pradesh,India,2012
Jugal Kishore,Medicine - Homoeopathy,Delhi *,,2012
Mukesh Batra,Medicine-Homeopathy,Maharashtra,India,2012
Eberhard Fischer,Literature and Education,,Switzerland*,2012
